Time,Extension,Load
(s),(mm),(N)
"0.00000","162.43622","-2.20598"
"0.01000","162.43631","-2.19117"
"0.02000","162.43863","-2.02243"
"0.03000","162.45003","-1.71263"
"0.04000","162.47487","-1.37421"
"0.05000","162.50981","-0.92839"
"0.06000","162.55124","-0.37483"
"0.07000","162.59743","0.25507"
"0.08000","162.64725","0.92944"
"0.09000","162.69933","1.60197"
"0.10000","162.75226","2.24972"
"0.11000","162.80501","2.90612"
"0.12000","162.85712","3.57629"
"0.13000","162.90855","4.22540"
"0.14000","162.95949","4.84078"
"0.15000","163.01003","5.44974"
"0.16000","163.06036","6.05555"
"0.17000","163.11064","6.65496"
"0.18000","163.16086","7.25214"
"0.19000","163.21101","7.84060"
"0.20000","163.26115","8.42815"
"0.21000","163.31133","9.01678"
"0.22000","163.36143","9.58981"
"0.23000","163.41151","10.16631"
"0.24000","163.46156","10.75213"
"0.25000","163.51160","11.32890"
"0.26000","163.56160","11.89553"
"0.27000","163.61159","12.46311"
"0.28000","163.66164","13.03549"
"0.29000","163.71167","13.60644"
"0.30000","163.76167","14.16525"
"0.31000","163.81168","14.71399"
"0.32000","163.86174","15.27088"
"0.33000","163.91177","15.83213"
"0.34000","163.96178","16.38378"
"0.35000","164.01180","16.92536"
"0.36000","164.06183","17.46914"
"0.37000","164.11182","18.01156"
"0.38000","164.16180","18.54975"
"0.39000","164.21181","19.08337"
"0.40000","164.26184","19.61291"
"0.41000","164.31184","20.14703"
"0.42000","164.36183","20.67875"
"0.43000","164.41185","21.19842"
"0.44000","164.46187","21.72474"
"0.45000","164.51183","22.25640"
"0.46000","164.56181","22.77443"
"0.47000","164.61183","23.28495"
"0.48000","164.66185","23.80261"
"0.49000","164.71187","24.32818"
"0.50000","164.76187","24.84779"
"0.51000","164.81190","25.35314"
"0.52000","164.86189","25.85797"
"0.53000","164.91185","26.37752"
"0.54000","164.96184","26.89798"
"0.55000","165.01184","27.39540"
"0.56000","165.06181","27.88859"
"0.57000","165.11179","28.39227"
"0.58000","165.16177","28.90153"
"0.59000","165.21176","29.40582"
"0.60000","165.26172","29.89691"
"0.61000","165.31168","30.38797"
"0.62000","165.36169","30.88786"
"0.63000","165.41173","31.38418"
"0.64000","165.46176","31.87255"
"0.65000","165.51180","32.35770"
"0.66000","165.56186","32.84367"
"0.67000","165.61186","33.33089"
"0.68000","165.66182","33.81331"
"0.69000","165.71182","34.28965"
"0.70000","165.76181","34.76698"
"0.71000","165.81178","35.24803"
"0.72000","165.86174","35.72354"
"0.73000","165.91174","36.19553"
"0.74000","165.96178","36.66806"
"0.75000","166.01176","37.14029"
"0.76000","166.06178","37.60620"
"0.77000","166.11183","38.07191"
"0.78000","166.16183","38.53944"
"0.79000","166.21179","39.00685"
"0.80000","166.26181","39.46801"
"0.81000","166.31184","39.92345"
"0.82000","166.36186","40.38060"
"0.83000","166.41187","40.84093"
"0.84000","166.46188","41.29627"
"0.85000","166.51190","41.74419"
"0.86000","166.56189","42.19250"
"0.87000","166.61185","42.64272"
"0.88000","166.66188","43.08566"
"0.89000","166.71188","43.52536"
"0.90000","166.76187","43.96790"
"0.91000","166.81186","44.41302"
"0.92000","166.86188","44.85184"
"0.93000","166.91188","45.28756"
"0.94000","166.96188","45.72583"
"0.95000","167.01189","46.17073"
"0.96000","167.06187","46.61406"
"0.97000","167.11183","47.04836"
"0.98000","167.16177","47.48429"
"0.99000","167.21178","47.92456"
"1.00000","167.26180","48.36288"
"1.01000","167.31181","48.79433"
"1.02000","167.36183","49.22906"
"1.03000","167.41187","49.66696"
"1.04000","167.46190","50.10714"
"1.05000","167.51187","50.54325"
"1.06000","167.56184","50.97541"
"1.07000","167.61183","51.41202"
"1.08000","167.66185","51.85194"
"1.09000","167.71182","52.28716"
"1.10000","167.76184","52.72223"
"1.11000","167.81189","53.15726"
"1.12000","167.86192","53.59151"
"1.13000","167.91191","54.02441"
"1.14000","167.96193","54.45557"
"1.15000","168.01195","54.88425"
"1.16000","168.06192","55.31861"
"1.17000","168.11189","55.75166"
"1.18000","168.16185","56.17985"
"1.19000","168.21185","56.60926"
"1.20000","168.26183","57.04031"
"1.21000","168.31183","57.46820"
"1.22000","168.36189","57.89243"
"1.23000","168.41193","58.31653"
"1.24000","168.46193","58.74328"
"1.25000","168.51195","59.16979"
"1.26000","168.56195","59.59180"
"1.27000","168.61189","60.01265"
"1.28000","168.66180","60.43902"
"1.29000","168.71172","60.86262"
"1.30000","168.76169","61.28160"
"1.31000","168.81163","61.70187"
"1.32000","168.86162","62.12318"
"1.33000","168.91165","62.54313"
"1.34000","168.96172","62.95999"
"1.35000","169.01176","63.37729"
"1.36000","169.06183","63.79892"
"1.37000","169.11188","64.22005"
"1.38000","169.16190","64.63710"
"1.39000","169.21188","65.05197"
"1.40000","169.26186","65.46882"
"1.41000","169.31184","65.88391"
"1.42000","169.36185","66.29559"
"1.43000","169.41182","66.70683"
"1.44000","169.46184","67.12193"
"1.45000","169.51187","67.53339"
"1.46000","169.56186","67.94408"
"1.47000","169.61186","68.35275"
"1.48000","169.66188","68.76215"
"1.49000","169.71190","69.17249"
"1.50000","169.76189","69.57770"
"1.51000","169.81187","69.98185"
"1.52000","169.86189","70.38467"
"1.53000","169.91191","70.78877"
"1.54000","169.96190","71.19219"
"1.55000","170.01190","71.59492"
"1.56000","170.06194","71.99689"
"1.57000","170.11189","72.40124"
"1.58000","170.16180","72.80313"
"1.59000","170.21173","73.20110"
"1.60000","170.26170","73.60035"
"1.61000","170.31168","73.99839"
"1.62000","170.36166","74.39748"
"1.63000","170.41170","74.79409"
"1.64000","170.46175","75.19147"
"1.65000","170.51176","75.59189"
"1.66000","170.56178","75.99191"
"1.67000","170.61182","76.39006"
"1.68000","170.66183","76.78352"
"1.69000","170.71182","77.17609"
"1.70000","170.76183","77.57313"
"1.71000","170.81186","77.96724"
"1.72000","170.86188","78.35909"
"1.73000","170.91187","78.74875"
"1.74000","170.96187","79.14083"
"1.75000","171.01189","79.52993"
"1.76000","171.06186","79.91660"
"1.77000","171.11183","80.30176"
"1.78000","171.16185","80.68991"
"1.79000","171.21185","81.07455"
"1.80000","171.26184","81.46085"
"1.81000","171.31184","81.84869"
"1.82000","171.36185","82.23856"
"1.83000","171.41182","82.62644"
"1.84000","171.46178","83.01260"
"1.85000","171.51180","83.39828"
"1.86000","171.56187","83.78587"
"1.87000","171.61191","84.17270"
"1.88000","171.66191","84.55534"
"1.89000","171.71191","84.93926"
"1.90000","171.76192","85.32683"
"1.91000","171.81186","85.71201"
"1.92000","171.86183","86.09490"
"1.93000","171.91182","86.47960"
"1.94000","171.96181","86.86286"
"1.95000","172.01180","87.24446"
"1.96000","172.06178","87.62484"
"1.97000","172.11182","88.00307"
"1.98000","172.16182","88.38205"
"1.99000","172.21178","88.76444"
"2.00000","172.26180","89.14467"
"2.01000","172.31183","89.52550"
"2.02000","172.36185","89.90549"
"2.03000","172.41187","90.28397"
"2.04000","172.46188","90.65886"
"2.05000","172.51190","91.03426"
"2.06000","172.56189","91.41431"
"2.07000","172.61185","91.79622"
"2.08000","172.66183","92.17201"
"2.09000","172.71187","92.54681"
"2.10000","172.76184","92.92410"
"2.11000","172.81183","93.30339"
"2.12000","172.86186","93.67943"
"2.13000","172.91187","94.05518"
"2.14000","172.96185","94.43356"
"2.15000","173.01184","94.80904"
"2.16000","173.06186","95.18302"
"2.17000","173.11189","95.55560"
"2.18000","173.16190","95.92883"
"2.19000","173.21190","96.30513"
"2.20000","173.26192","96.67650"
"2.21000","173.31189","97.04860"
"2.22000","173.36185","97.41611"
"2.23000","173.41187","97.78366"
"2.24000","173.46184","98.14932"
"2.25000","173.51180","98.51062"
"2.26000","173.56177","98.87353"
"2.27000","173.61179","99.23867"
"2.28000","173.66179","99.60664"
"2.29000","173.71176","99.96806"
"2.30000","173.76176","100.33051"
"2.31000","173.81180","100.69128"
"2.32000","173.86180","101.05718"
"2.33000","173.91179","101.42146"
"2.34000","173.96182","101.78770"
"2.35000","174.01186","102.16009"
"2.36000","174.06184","102.53115"
"2.37000","174.11185","102.89966"
"2.38000","174.16187","103.26403"
"2.39000","174.21187","103.62827"
"2.40000","174.26187","103.99644"
"2.41000","174.31187","104.36067"
"2.42000","174.36191","104.72359"
"2.43000","174.41193","105.08717"
"2.44000","174.46190","105.44971"
"2.45000","174.51190","105.81107"
"2.46000","174.56190","106.17156"
"2.47000","174.61191","106.53484"
"2.48000","174.66190","106.89820"
"2.49000","174.71188","107.25907"
"2.50000","174.76187","107.61941"
"2.51000","174.81181","107.98333"
"2.52000","174.86174","108.34830"
"2.53000","174.91176","108.70895"
"2.54000","174.96178","109.06966"
"2.55000","175.01178","109.43286"
"2.56000","175.06180","109.79533"
"2.57000","175.11183","110.15784"
"2.58000","175.16183","110.51975"
"2.59000","175.21182","110.88037"
"2.60000","175.26180","111.24086"
"2.61000","175.31180","111.60230"
"2.62000","175.36182","111.96251"
"2.63000","175.41180","112.32201"
"2.64000","175.46184","112.67979"
"2.65000","175.51187","113.03974"
"2.66000","175.56184","113.39768"
"2.67000","175.61182","113.75761"
"2.68000","175.66182","114.11640"
"2.69000","175.71182","114.47485"
"2.70000","175.76181","114.83287"
"2.71000","175.81180","115.19185"
"2.72000","175.86180","115.54686"
"2.73000","175.91183","115.90489"
"2.74000","175.96184","116.26221"
"2.75000","176.01187","116.62165"
"2.76000","176.06195","116.97831"
"2.77000","176.11198","117.33548"
"2.78000","176.16199","117.69263"
"2.79000","176.21199","118.04765"
"2.80000","176.26196","118.40005"
"2.81000","176.31187","118.75616"
"2.82000","176.36179","119.11024"
"2.83000","176.41171","119.46344"
"2.84000","176.46169","119.81810"
"2.85000","176.51164","120.17426"
"2.86000","176.56165","120.53310"
"2.87000","176.61171","120.88876"
"2.88000","176.66177","121.24138"
"2.89000","176.71181","121.59823"
"2.90000","176.76186","121.95432"
"2.91000","176.81189","122.30936"
"2.92000","176.86189","122.66570"
"2.93000","176.91185","123.01547"
"2.94000","176.96184","123.36918"
"2.95000","177.01183","123.72241"
"2.96000","177.06181","124.07568"
"2.97000","177.11179","124.43098"
"2.98000","177.16183","124.78335"
"2.99000","177.21188","125.13308"
"3.00000","177.26189","125.48396"
"3.01000","177.31189","125.83727"
"3.02000","177.36192","126.19059"
"3.03000","177.41191","126.54443"
"3.04000","177.46188","126.89754"
"3.05000","177.51186","127.24905"
"3.06000","177.56187","127.60189"
"3.07000","177.61189","127.95442"
"3.08000","177.66190","128.30716"
"3.09000","177.71191","128.65848"
"3.10000","177.76195","129.00761"
"3.11000","177.81189","129.35674"
"3.12000","177.86183","129.70717"
"3.13000","177.91179","130.05415"
"3.14000","177.96179","130.40196"
"3.15000","178.01180","130.75635"
"3.16000","178.06180","131.10744"
"3.17000","178.11185","131.45580"
"3.18000","178.16190","131.80310"
"3.19000","178.21187","132.15179"
"3.20000","178.26186","132.50140"
"3.21000","178.31189","132.85037"
"3.22000","178.36189","133.19859"
"3.23000","178.41187","133.54684"
"3.24000","178.46188","133.89255"
"3.25000","178.51190","134.23985"
"3.26000","178.56186","134.58740"
