Time,Extension,Load
(s),(mm),(N)
"0.00000","162.48112","-1.70059"
"0.01000","162.48117","-1.69413"
"0.02000","162.48250","-1.59747"
"0.03000","162.48907","-1.40986"
"0.04000","162.50365","-1.21165"
"0.05000","162.52415","-0.94974"
"0.06000","162.54839","-0.62402"
"0.07000","162.57555","-0.24833"
"0.08000","162.60507","0.16019"
"0.09000","162.63620","0.56753"
"0.10000","162.66808","0.96144"
"0.11000","162.70001","1.36006"
"0.12000","162.73163","1.77616"
"0.13000","162.76282","2.17526"
"0.14000","162.79359","2.55073"
"0.15000","162.82404","2.92783"
"0.16000","162.85429","3.30348"
"0.17000","162.88451","3.67633"
"0.18000","162.91470","4.04693"
"0.19000","162.94489","4.40811"
"0.20000","162.97499","4.76935"
"0.21000","163.00504","5.12977"
"0.22000","163.03505","5.48646"
"0.23000","163.06511","5.84393"
"0.24000","163.09520","6.20134"
"0.25000","163.12534","6.54676"
"0.26000","163.15543","6.89143"
"0.27000","163.18542","7.24075"
"0.28000","163.21536","7.58281"
"0.29000","163.24533","7.93376"
"0.30000","163.27534","8.29792"
"0.31000","163.30544","8.64366"
"0.32000","163.33549","8.98536"
"0.33000","163.36549","9.34063"
"0.34000","163.39542","9.68079"
"0.35000","163.42535","10.00713"
"0.36000","163.45537","10.33900"
"0.37000","163.48544","10.68305"
"0.38000","163.51550","11.04142"
"0.39000","163.54550","11.39360"
"0.40000","163.57544","11.72256"
"0.41000","163.60538","12.04423"
"0.42000","163.63536","12.37569"
"0.43000","163.66542","12.70858"
"0.44000","163.69543","13.03556"
"0.45000","163.72542","13.36206"
"0.46000","163.75533","13.68749"
"0.47000","163.78525","14.02469"
"0.48000","163.81525","14.36214"
"0.49000","163.84532","14.69127"
"0.50000","163.87541","15.02316"
"0.51000","163.90544","15.35155"
"0.52000","163.93541","15.66604"
"0.53000","163.96532","15.98652"
"0.54000","163.99530","16.31900"
"0.55000","164.02534","16.65238"
"0.56000","164.05544","16.97906"
"0.57000","164.08551","17.30128"
"0.58000","164.11549","17.61847"
"0.59000","164.14543","17.93837"
"0.60000","164.17537","18.25059"
"0.61000","164.20541","18.55506"
"0.62000","164.23549","18.86430"
"0.63000","164.26556","19.18243"
"0.64000","164.29553","19.49699"
"0.65000","164.32544","19.80787"
"0.66000","164.35538","20.11600"
"0.67000","164.38539","20.42497"
"0.68000","164.41545","20.74003"
"0.69000","164.44553","21.04172"
"0.70000","164.47551","21.33175"
"0.71000","164.50545","21.63225"
"0.72000","164.53537","21.94603"
"0.73000","164.56535","22.26064"
"0.74000","164.59541","22.57451"
"0.75000","164.62549","22.88448"
"0.76000","164.65552","23.18730"
"0.77000","164.68547","23.48764"
"0.78000","164.71539","23.79043"
"0.79000","164.74536","24.09768"
"0.80000","164.77539","24.40996"
"0.81000","164.80547","24.71566"
"0.82000","164.83553","25.01684"
"0.83000","164.86551","25.31898"
"0.84000","164.89542","25.62237"
"0.85000","164.92535","25.92076"
"0.86000","164.95537","26.21823"
"0.87000","164.98543","26.50814"
"0.88000","165.01549","26.79763"
"0.89000","165.04547","27.09329"
"0.90000","165.07538","27.39126"
"0.91000","165.10529","27.68657"
"0.92000","165.13527","27.98410"
"0.93000","165.16530","28.27954"
"0.94000","165.19536","28.57016"
"0.95000","165.22537","28.85586"
"0.96000","165.25533","29.14422"
"0.97000","165.28528","29.43763"
"0.98000","165.31528","29.73563"
"0.99000","165.34534","30.03188"
"1.00000","165.37543","30.32499"
"1.01000","165.40549","30.61817"
"1.02000","165.43546","30.90934"
"1.03000","165.46538","31.19743"
"1.04000","165.49538","31.48768"
"1.05000","165.52542","31.77497"
"1.06000","165.55550","32.05810"
"1.07000","165.58551","32.33947"
"1.08000","165.61546","32.62212"
"1.09000","165.64537","32.90986"
"1.10000","165.67531","33.19720"
"1.11000","165.70532","33.47561"
"1.12000","165.73540","33.74805"
"1.13000","165.76544","34.02223"
"1.14000","165.79544","34.29921"
"1.15000","165.82538","34.57631"
"1.16000","165.85532","34.84905"
"1.17000","165.88533","35.12086"
"1.18000","165.91539","35.39916"
"1.19000","165.94543","35.67754"
"1.20000","165.97545","35.95199"
"1.21000","166.00540","36.22676"
"1.22000","166.03534","36.50439"
"1.23000","166.06534","36.78003"
"1.24000","166.09541","37.05353"
"1.25000","166.12546","37.32967"
"1.26000","166.15549","37.60623"
"1.27000","166.18544","37.88218"
"1.28000","166.21538","38.15377"
"1.29000","166.24536","38.42161"
"1.30000","166.27539","38.68638"
"1.31000","166.30548","38.95218"
"1.32000","166.33554","39.21745"
"1.33000","166.36552","39.48339"
"1.34000","166.39546","39.75029"
"1.35000","166.42540","40.01275"
"1.36000","166.45541","40.27861"
"1.37000","166.48547","40.54276"
"1.38000","166.51553","40.80648"
"1.39000","166.54552","41.07504"
"1.40000","166.57544","41.34208"
"1.41000","166.60536","41.60537"
"1.42000","166.63536","41.86660"
"1.43000","166.66544","42.13357"
"1.44000","166.69551","42.40093"
"1.45000","166.72549","42.66731"
"1.46000","166.75543","42.93468"
"1.47000","166.78535","43.19717"
"1.48000","166.81537","43.45846"
"1.49000","166.84543","43.72457"
"1.50000","166.87550","43.99085"
"1.51000","166.90552","44.25553"
"1.52000","166.93547","44.51923"
"1.53000","166.96541","44.78225"
"1.54000","166.99539","45.04793"
"1.55000","167.02544","45.31255"
"1.56000","167.05548","45.57141"
"1.57000","167.08548","45.83142"
"1.58000","167.11542","46.09233"
"1.59000","167.14531","46.34991"
"1.60000","167.17526","46.60811"
"1.61000","167.20531","46.86736"
"1.62000","167.23540","47.12662"
"1.63000","167.26549","47.38727"
"1.64000","167.29550","47.64793"
"1.65000","167.32542","47.90514"
"1.66000","167.35536","48.16234"
"1.67000","167.38536","48.42023"
"1.68000","167.41541","48.68400"
"1.69000","167.44548","48.94943"
"1.70000","167.47548","49.20888"
"1.71000","167.50543","49.46436"
"1.72000","167.53535","49.72778"
"1.73000","167.56534","49.99118"
"1.74000","167.59541","50.25289"
"1.75000","167.62550","50.51078"
"1.76000","167.65553","50.76816"
"1.77000","167.68549","51.02699"
"1.78000","167.71539","51.28710"
"1.79000","167.74538","51.54150"
"1.80000","167.77541","51.79577"
"1.81000","167.80548","52.04964"
"1.82000","167.83553","52.30531"
"1.83000","167.86549","52.55983"
"1.84000","167.89543","52.81296"
"1.85000","167.92538","53.06281"
"1.86000","167.95541","53.31782"
"1.87000","167.98549","53.57516"
"1.88000","168.01556","53.82883"
"1.89000","168.04556","54.08124"
"1.90000","168.07550","54.33643"
"1.91000","168.10539","54.59169"
"1.92000","168.13536","54.84620"
"1.93000","168.16537","55.10507"
"1.94000","168.19540","55.36394"
"1.95000","168.22542","55.62349"
"1.96000","168.25537","55.88262"
"1.97000","168.28532","56.14128"
"1.98000","168.31535","56.39580"
"1.99000","168.34546","56.64965"
"2.00000","168.37558","56.89964"
"2.01000","168.40564","57.14849"
"2.02000","168.43561","57.39694"
"2.03000","168.46553","57.64796"
"2.04000","168.49548","57.90091"
"2.05000","168.52547","58.15286"
"2.06000","168.55551","58.39842"
"2.07000","168.58551","58.64368"
"2.08000","168.61542","58.89240"
"2.09000","168.64529","59.14364"
"2.10000","168.67520","59.39284"
"2.11000","168.70520","59.64344"
"2.12000","168.73526","59.88901"
"2.13000","168.76532","60.13918"
