Time,Extension,Load
(s),(mm),(N)
"0.00000","162.52670","-2.58802"
"0.01000","162.52672","-2.58283"
"0.02000","162.52708","-2.55647"
"0.03000","162.52896","-2.50143"
"0.04000","162.53322","-2.45259"
"0.05000","162.53894","-2.38137"
"0.06000","162.54553","-2.28115"
"0.07000","162.55336","-2.16376"
"0.08000","162.56268","-2.03389"
"0.09000","162.57320","-1.89846"
"0.10000","162.58435","-1.76820"
"0.11000","162.59560","-1.63319"
"0.12000","162.60667","-1.48728"
"0.13000","162.61748","-1.34390"
"0.14000","162.62802","-1.21387"
"0.15000","162.63841","-1.09006"
"0.16000","162.64867","-0.96481"
"0.17000","162.65886","-0.83192"
"0.18000","162.66901","-0.69445"
"0.19000","162.67918","-0.56537"
"0.20000","162.68939","-0.43967"
"0.21000","162.69958","-0.30752"
"0.22000","162.70972","-0.18240"
"0.23000","162.71979","-0.06178"
"0.24000","162.72986","0.06439"
"0.25000","162.73993","0.19688"
"0.26000","162.74998","0.33044"
"0.27000","162.76006","0.45811"
"0.28000","162.77008","0.57662"
"0.29000","162.78008","0.69758"
"0.30000","162.78999","0.82041"
"0.31000","162.79993","0.93933"
"0.32000","162.80989","1.05157"
"0.33000","162.81990","1.16517"
"0.34000","162.82990","1.27664"
"0.35000","162.83986","1.39053"
"0.36000","162.84987","1.50613"
"0.37000","162.85992","1.62165"
"0.38000","162.87000","1.73695"
"0.39000","162.88007","1.85366"
"0.40000","162.89014","1.96753"
"0.41000","162.90016","2.08405"
"0.42000","162.91017","2.20676"
"0.43000","162.92017","2.33075"
"0.44000","162.93015","2.45494"
"0.45000","162.94014","2.58055"
"0.46000","162.95013","2.70487"
"0.47000","162.96010","2.82572"
"0.48000","162.97003","2.94384"
"0.49000","162.98000","3.06147"
"0.50000","162.98994","3.18025"
"0.51000","162.99989","3.29707"
"0.52000","163.00987","3.40796"
"0.53000","163.01987","3.51926"
"0.54000","163.02986","3.63706"
"0.55000","163.03986","3.75408"
"0.56000","163.04987","3.86542"
"0.57000","163.05994","3.97102"
"0.58000","163.07004","4.07666"
"0.59000","163.08009","4.18685"
"0.60000","163.09012","4.30105"
"0.61000","163.10014","4.41384"
"0.62000","163.11017","4.52741"
"0.63000","163.12018","4.64118"
"0.64000","163.13017","4.75652"
"0.65000","163.14018","4.87217"
"0.66000","163.15016","4.98935"
"0.67000","163.16011","5.10306"
"0.68000","163.17001","5.21772"
"0.69000","163.17993","5.33367"
"0.70000","163.18990","5.44995"
"0.71000","163.19987","5.56718"
"0.72000","163.20982","5.68498"
"0.73000","163.21980","5.80215"
"0.74000","163.22984","5.91858"
"0.75000","163.23990","6.03071"
"0.76000","163.24997","6.13972"
"0.77000","163.26004","6.24938"
"0.78000","163.27010","6.36101"
"0.79000","163.28014","6.47305"
"0.80000","163.29013","6.58201"
"0.81000","163.30013","6.68771"
"0.82000","163.31017","6.79333"
"0.83000","163.32024","6.90028"
"0.84000","163.33026","7.00805"
"0.85000","163.34021","7.11480"
"0.86000","163.35013","7.22419"
"0.87000","163.36003","7.33694"
"0.88000","163.36992","7.44936"
"0.89000","163.37985","7.56117"
"0.90000","163.38980","7.67523"
"0.91000","163.39980","7.79322"
"0.92000","163.40982","7.91101"
"0.93000","163.41983","8.02509"
"0.94000","163.42990","8.13638"
"0.95000","163.44000","8.25067"
"0.96000","163.45010","8.36724"
"0.97000","163.46013","8.48045"
"0.98000","163.47012","8.58744"
"0.99000","163.48013","8.69239"
"1.00000","163.49016","8.80053"
"1.01000","163.50017","8.91022"
"1.02000","163.51018","9.01809"
"1.03000","163.52016","9.12375"
"1.04000","163.53011","9.22698"
"1.05000","163.54002","9.33121"
"1.06000","163.54991","9.43500"
"1.07000","163.55984","9.54046"
"1.08000","163.56982","9.64690"
"1.09000","163.57980","9.75400"
"1.10000","163.58978","9.86121"
"1.11000","163.59981","9.97261"
"1.12000","163.60985","10.08535"
"1.13000","163.61993","10.19608"
"1.14000","163.63002","10.30859"
"1.15000","163.64008","10.42481"
"1.16000","163.65012","10.54068"
"1.17000","163.66013","10.65075"
"1.18000","163.67012","10.75929"
"1.19000","163.68011","10.87197"
"1.20000","163.69012","10.98566"
"1.21000","163.70010","11.09516"
"1.22000","163.71004","11.20234"
"1.23000","163.71999","11.30844"
"1.24000","163.72992","11.41674"
"1.25000","163.73987","11.52083"
"1.26000","163.74982","11.62172"
"1.27000","163.75977","11.72301"
"1.28000","163.76973","11.82668"
"1.29000","163.77975","11.93109"
"1.30000","163.78976","12.03680"
"1.31000","163.79982","12.14214"
"1.32000","163.80994","12.25010"
"1.33000","163.82008","12.35593"
"1.34000","163.83017","12.46378"
"1.35000","163.84021","12.57197"
"1.36000","163.85019","12.68328"
"1.37000","163.86018","12.79483"
"1.38000","163.87016","12.90635"
"1.39000","163.88011","13.01741"
"1.40000","163.89008","13.12863"
"1.41000","163.90005","13.23798"
"1.42000","163.91000","13.34882"
"1.43000","163.91994","13.45750"
"1.44000","163.92990","13.56467"
