Time,Extension,Load
(s),(mm),(N)
"1.62000","164.10970","16.33141"
"1.63000","164.11963","16.43319"
"1.64000","164.12958","16.53414"
"1.65000","164.13954","16.64033"
"1.66000","164.14954","16.74366"
"1.67000","164.15955","16.84465"
"1.68000","164.16959","16.94646"
"1.69000","164.17964","17.05461"
"1.70000","164.18976","17.16146"
"1.71000","164.19986","17.26580"
"1.72000","164.20990","17.36699"
"1.73000","164.21991","17.47160"
"1.74000","164.22995","17.57906"
"1.75000","164.23997","17.68265"
"1.76000","164.24997","17.78201"
"1.77000","164.25995","17.88421"
"1.78000","164.26993","17.98829"
"1.79000","164.27988","18.09090"
"1.80000","164.28978","18.18812"
"1.81000","164.29968","18.28557"
"1.82000","164.30960","18.38656"
"1.83000","164.31960","18.48796"
"1.84000","164.32956","18.58811"
"1.85000","164.33954","18.68738"
"1.86000","164.34956","18.78987"
"1.87000","164.35965","18.89343"
"1.88000","164.36975","18.99499"
"1.89000","164.37984","19.09429"
"1.90000","164.38991","19.19672"
"1.91000","164.39993","19.30281"
"1.92000","164.40994","19.41179"
"1.93000","164.41992","19.51243"
"1.94000","164.42989","19.61051"
"1.95000","164.43988","19.71287"
"1.96000","164.44991","19.81856"
"1.97000","164.45985","19.91866"
"1.98000","164.46977","20.01698"
"1.99000","164.47971","20.11587"
"2.00000","164.48964","20.21884"
"2.01000","164.49960","20.32249"
"2.02000","164.50957","20.42232"
"2.03000","164.51955","20.52013"
"2.04000","164.52956","20.62244"
"2.05000","164.53958","20.72322"
"2.06000","164.54962","20.82094"
"2.07000","164.55972","20.92225"
"2.08000","164.56984","21.02467"
"2.09000","164.57993","21.12308"
"2.10000","164.58995","21.22115"
"2.11000","164.59995","21.32178"
"2.12000","164.60992","21.42249"
"2.13000","164.61990","21.52166"
"2.14000","164.62990","21.61845"
"2.15000","164.63988","21.71766"
"2.16000","164.64987","21.82155"
"2.17000","164.65982","21.92425"
"2.18000","164.66975","22.02129"
"2.19000","164.67966","22.12066"
"2.20000","164.68961","22.22272"
"2.21000","164.69955","22.32402"
"2.22000","164.70950","22.42124"
"2.23000","164.71950","22.52081"
"2.24000","164.72954","22.62316"
"2.25000","164.73964","22.72613"
"2.26000","164.74977","22.82268"
"2.27000","164.75987","22.91916"
"2.28000","164.76994","23.02048"
"2.29000","164.77998","23.12126"
"2.30000","164.78995","23.21757"
